name;revenue;amount;profit
ARIEL;5344,86;43,00;0,21
BIMAX;11030,81;86,00;0,25
DOSIA;7587,34;91,00;0,25
TIDE;5626,73;48,00;0,23
АИСТ;1763,27;40,00;0,30
АИСТЕНОК;647,17;12,00;0,26
ДЕНИ;781,90;18,00;0,26
ЛОСК;6455,48;58,00;0,18
МИФ;14162,25;135,00;0,23
ПЕРСИЛ;4208,71;34,00;0,21
УШАСТЫЙ НЯНЬ;14305,22;76,00;0,23
BIO MIO;7589,07;20,00;0,17
СПАРК ДРАМ;5628,30;19,00;0,24
ПЕМОС;4836,57;69,00;0,25
КАПЕЛЬ;622,38;21,00;0,20
САРМА;1221,46;14,00;0,25
MEINE LIEBE;3312,03;10,00;0,11
МЕУЛЕ(MEULE);1310,00;2,00;0,13
